case_id,message_id,user_id,direction,text,pais_usuario,channel,ts,category,subcategory,sentiment,urgency,confidence,is_fraud,suggested_response,reasoning
CASE-001,MSG-001,USR-772,INBOUND,Hice un envío a Colombia hace 3 días y sigue pendiente.,Chile,No especificado,2026-05-06T04:23:34.716589+00:00,TRANSFERENCIAS_ENVIOS,ENVIO_PENDIENTE,NEUTRAL,MEDIA,0.95,False,,"El usuario reporta un envío internacional (Chile a Colombia) que permanece pendiente después de 3 días, situación típica de ENVIO_PENDIENTE sin evidencia de fraude."
CASE-001,MSG-002,AGENT-01,OUTBOUND,"Hola, estamos revisando con el banco de destino. Danos 24h.",Chile,No especificado,2026-05-06T04:23:36.626836+00:00,,,,,,,,
CASE-001,MSG-003,USR-772,INBOUND,¡Ya pasaron las 24h! Mi familia necesita la plata para una cirugía hoy.,Chile,No especificado,2026-05-06T04:23:36.633182+00:00,TRANSFERENCIAS_ENVIOS,ENVIO_PENDIENTE,NEGATIVO,CRITICA,0.95,False,,"Transferencia internacional pendiente después de 3 días con situación humanitaria urgente (cirugía familiar). No hay evidencia de fraude, pero requiere escalonamiento inmediato por criticidad."
CASE-001,MSG-004,USR-772,INBOUND,"¿Por qué nadie me responde? Es una emergencia médica, ¡por favor!",Chile,No especificado,2026-05-06T04:23:38.771465+00:00,TRANSFERENCIAS_ENVIOS,ENVIO_PENDIENTE,NEGATIVO,CRITICA,0.95,False,,El usuario reporta un envío pendiente a Colombia hace 3 días con una emergencia médica inminente; requiere escalación inmediata y seguimiento prioritario con el banco de destino.
CASE-002,MSG-005,USR-105,INBOUND,I need to change my bank account details for a refund.,USA,No especificado,2026-05-06T04:23:40.816333+00:00,CUENTA_PERFIL,CAMBIO_DATOS_PERFIL,NEUTRAL,MEDIA,0.75,False,,"El usuario solicita cambiar los detalles de su cuenta bancaria para recibir un reembolso, lo cual se clasifica como cambio de datos de perfil aunque podría tener conexión con un reembolso pendiente."
CASE-002,MSG-006,AGENT-03,OUTBOUND,Please send us your new account number and ID photo.,USA,No especificado,2026-05-06T04:23:43.069128+00:00,,,,,,,,
CASE-002,MSG-007,USR-105,INBOUND,Here is the photo. I'm in a rush because I'm traveling tonight.,USA,No especificado,2026-05-06T04:23:43.073638+00:00,CUENTA_PERFIL,CAMBIO_DATOS_PERFIL,NEUTRAL,MEDIA,0.85,False,,"El usuario solicita cambiar detalles de cuenta bancaria para un reembolso, lo cual es un cambio de datos de perfil. El sentimiento es neutral con tono de urgencia por viaje próximo, pero no hay evidencia de fraude."
CASE-003,MSG-008,USR-901,INBOUND,Me bloquearon la cuenta. Estaba pagando la luz y me sacó de la app.,Perú,No especificado,2026-05-06T04:23:45.032715+00:00,CUENTA_PERFIL,BLOQUEO_CUENTA,NEGATIVO,ALTA,0.85,False,,"El usuario reporta que su cuenta fue bloqueada durante una transacción de pago de servicios; no hay evidencia clara de fraude activo, sino de un bloqueo de cuenta que requiere investigación inmediata."
CASE-003,MSG-009,AGENT-01,OUTBOUND,Detectamos un inicio de sesión sospechoso. ¿Fuiste tú?,Perú,No especificado,2026-05-06T04:23:47.145921+00:00,,,,,,,,
CASE-003,MSG-010,USR-901,INBOUND,"No, dice que entraron desde Rusia. ¡Bloqueen todo por favor!",Perú,No especificado,2026-05-06T04:23:47.152161+00:00,SEGURIDAD_FRAUDE,ACCESO_NO_AUTORIZADO,NEGATIVO,CRITICA,0.98,True,"Hola, entendemos la urgencia de tu situación. Tu cuenta ha sido bloqueada inmediatamente para proteger tus fondos. A continuación te indicamos los pasos críticos:  1. **No compartas tu OTP** (código de 6 dígitos) con nadie, ni siquiera con nuestro equipo de soporte. 2. **Cambia tu contraseña** desde un dispositivo seguro tan pronto como recuperes acceso (o espera a nuestro equipo). 3. **No accedas a la app** desde dispositivos públicos o comprometidos. 4. **Revisa tus transacciones**: verifica si realizaron movimientos no autorizados.  Nuestro equipo de Seguridad se contactará contigo en los próximos 30 minutos a través del número registrado en tu perfil. Ten a mano tu documento de identidad.  Tu cuenta está protegida y monitoreada. ¡Estamos aquí para ayudarte!","El usuario reporta acceso no autorizado a su cuenta desde una ubicación sospechosa (Rusia), desconexión involuntaria durante transacción y solicitud explícita de bloqueo de cuenta, evidencia clara de incidente de seguridad activo."
CASE-003,MSG-011,USR-901,INBOUND,También intentaron cambiar mi correo. ¡Hagan algo rápido!,Perú,No especificado,2026-05-06T04:23:52.037035+00:00,SEGURIDAD_FRAUDE,ACCESO_NO_AUTORIZADO,NEGATIVO,CRITICA,0.98,True,"¡Acción inmediata completada! 🔒  Tu cuenta ha sido **bloqueada de forma preventiva** para proteger tus fondos. Detectamos intentos de acceso no autorizado desde Rusia e intento de cambio de correo.  **Pasos urgentes que debes tomar AHORA:**  1. ✅ **NO compartas tu código OTP (código de 6 dígitos)** con nadie, ni siquiera con nuestro equipo 2. ✅ **Cambia tu contraseña** desde otro dispositivo (que sabes está seguro) 3. ✅ **Revisa accesos recientes** en tus otros servicios (email, redes sociales) 4. ✅ **Espera contacto directo** de nuestro equipo de Seguridad en las próximas 2 horas  **Equipo especializado ya está revisando tu caso.** No necesitas hacer más que esperar nuestro contacto.  Gracias por actuar rápido. Estamos protegiendo tu cuenta. 🛡️","El usuario reporta acceso no autorizado a su cuenta desde Rusia, intento de cambio de correo no autorizado y fue desconectado durante una operación legítima. Evidencia inequívoca de incidente de seguridad activo."
CASE-004,MSG-012,USR-223,INBOUND,"O app em português é ótimo, mas não consigo validar meu CPF.",Brasil,No especificado,2026-05-06T04:23:56.811861+00:00,CUENTA_PERFIL,VERIFICACION_IDENTIDAD,NEUTRAL,MEDIA,0.85,False,,"El usuario reporta un problema al validar su CPF en el app, lo cual corresponde al proceso de verificación de identidad (KYC) para la gestión de cuenta."
CASE-004,MSG-013,AGENT-05,OUTBOUND,"Olá, você pode tentar tirar a foto novamente com más luz?",Brasil,No especificado,2026-05-06T04:24:00.852476+00:00,,,,,,,,
CASE-004,MSG-014,USR-223,INBOUND,Já tentei 5 vezes e dá erro sempre. O suporte não me atende.,Brasil,No especificado,2026-05-06T04:24:00.858001+00:00,CUENTA_PERFIL,VERIFICACION_IDENTIDAD,NEGATIVO,ALTA,0.92,False,,"El usuario reporta un problema recurrente con la validación de identidad (CPF) tras múltiples intentos fallidos y falta de atención del soporte, generando frustración clara."
CASE-005,MSG-015,USR-441,INBOUND,"Si para mañana no tengo mi dinero, voy a la CMF con mis abogados.",Chile,No especificado,2026-05-06T04:24:03.258086+00:00,RECLAMO_QUEJA,AMENAZA_REGULATORIA,NEGATIVO,CRITICA,0.95,False,,"El usuario expresa una amenaza directa de escalación regulatoria ante la CMF (Chile) con asistencia legal, indicando una situación crítica que requiere atención inmediata de un supervisor."
CASE-005,MSG-016,AGENT-02,OUTBOUND,"Lamentamos la demora, estamos procesando el reembolso manual.",Chile,No especificado,2026-05-06T04:24:05.602011+00:00,,,,,,,,
